time_ps,cv1_distance_A
1.919999885559082031e+01,3.518029928207397461e+00
1.923999977111816406e+01,3.415502309799194336e+00
1.927999877929687500e+01,3.368833780288696289e+00
1.931999969482421875e+01,3.468945503234863281e+00
1.935999870300292969e+01,3.397413969039916992e+00
1.939999961853027344e+01,3.457129001617431641e+00
1.943999862670898438e+01,3.410624027252197266e+00
1.947999954223632812e+01,3.453713178634643555e+00
1.952000045776367188e+01,3.433115959167480469e+00
1.955999946594238281e+01,3.492661714553833008e+00
1.960000038146972656e+01,3.378736019134521484e+00
1.963999938964843750e+01,3.418555498123168945e+00
1.968000030517578125e+01,3.505816698074340820e+00
1.971999931335449219e+01,3.395118474960327148e+00
1.976000022888183594e+01,3.467872858047485352e+00
1.979999923706054688e+01,3.485287427902221680e+00
1.984000015258789062e+01,3.445301055908203125e+00
1.987999916076660156e+01,3.455043077468872070e+00
1.992000007629394531e+01,3.496316909790039062e+00
1.995999908447265625e+01,3.452599287033081055e+00
2.000000000000000000e+01,3.548969984054565430e+00
2.003999900817871094e+01,3.513088703155517578e+00
2.007999992370605469e+01,3.445122003555297852e+00
2.011999893188476562e+01,3.508432865142822266e+00
2.015999984741210938e+01,3.474803447723388672e+00
2.019999885559082031e+01,3.506841182708740234e+00
2.023999977111816406e+01,3.509011507034301758e+00
2.027999877929687500e+01,3.512116193771362305e+00
2.031999969482421875e+01,3.440706729888916016e+00
2.035999870300292969e+01,3.616868019104003906e+00
2.039999961853027344e+01,3.396358728408813477e+00
2.043999862670898438e+01,3.526629686355590820e+00
2.047999954223632812e+01,3.476490497589111328e+00
2.052000045776367188e+01,3.444226026535034180e+00
2.055999946594238281e+01,3.548576831817626953e+00
2.060000038146972656e+01,3.385520696640014648e+00
2.063999938964843750e+01,3.551270961761474609e+00
2.068000030517578125e+01,3.414211273193359375e+00
2.071999931335449219e+01,3.536928415298461914e+00
2.076000022888183594e+01,3.492430686950683594e+00
2.079999923706054688e+01,3.509000301361083984e+00
2.084000015258789062e+01,3.517479419708251953e+00
2.087999916076660156e+01,3.414305210113525391e+00
2.092000007629394531e+01,3.562255620956420898e+00
2.095999908447265625e+01,3.394436120986938477e+00
2.100000000000000000e+01,3.537523269653320312e+00
2.103999900817871094e+01,3.525205135345458984e+00
2.107999992370605469e+01,3.442136049270629883e+00
2.111999893188476562e+01,3.480901956558227539e+00
2.115999984741210938e+01,3.538382768630981445e+00
